product_name,price(?),rating,%off,delivery,offers,review
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box","8,099",4,(33% off),"FREE delivery Sat, 8 Nov",Up to 5% back with Amazon Pay...,(8.8K)
"Samsung Galaxy M07 (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | IP54 Rating | 50MP Auto Focus Camera | 7.6mm Slim | 5000mAh Battery| 25W Fast Charging | 6 Gen of OS Upgrades | Without Charger","6,799",3.8,,"FREE delivery Sat, 8 Nov",,49
Redmi A5 Just Black (3GB RAM 64GB Storage) | Royale Design | Segment's Largest 17.47cm(6.88) and Smoothest 120Hz Display | 5200mAh Large Battery | Expandable Storage up to 2TB,"6,199",3.8,(31% off),"FREE delivery Mon, 10 Nov",Up to 5% back with Amazon Pay...,313
"Motorola G05 4G (Forest Green, 4+64)","7,477",3.9,(25% off),"FREE delivery Sat, 8 Nov",,340
Redmi A3X Ocean Green 4GB RAM 128GB ROM,"6,848",4,(38% off),"FREE delivery Sat, 8 Nov",Up to 5% back with Amazon Pay...,140
"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger","11,499",3.9,(26% off),"FREE delivery Sat, 8 Nov",Up to 5% back with Amazon Pay...,(4.5K)
"Motorola G06 Power (Pantone Laurel Oak, 4GB RAM, 64GB Storage)| 6.88"" HD+ Display |Advanced 50 MP Quad Pixel Camera | 7000 mAh Battery| MediaTek Helio G81 Processor | IP64 Protection | Gorilla Glass 3","8,094",3.1,(19% off),"FREE delivery Sat, 8 Nov",,
"Motorola g45 5G (Pantone Moss, 128 GB) (8 GB RAM)","12,899",4,(14% off),"FREE delivery Sat, 8 Nov",,122
"Motorola G96 (Pastures, 8GB RAM, 128GB Storage)","16,240",4.4,(23% off),FREE delivery 9 - 12 Nov,,63
"Redmi 13 5G Prime Edition, Black Diamond, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","11,199",4.1,,"FREE delivery Sat, 8 Nov",,(3.4K)
"Samsung Galaxy M17 5G (Sapphire Black, 6GB RAM, 128GB Storage)| 50MP OIS Triple Camera| Gorilla Glass Victus| IP54 Rating| 6 Gen of OS Upgrades| AI| Circle to Search| Gemini Live| Without Charger","15,499",4.1,(14% off),"FREE delivery Sat, 8 Nov",Flat INR 1000 Off on ICICI BankC...,148
"Redmi 13 5G Prime Edition, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","11,199",4.1,,"FREE delivery Sun, 9 Nov",,(3.4K)
"Motorola Edge 50 Fusion 5G (Marshmallow Blue, 12GB RAM, 256GB Storage)","21,747",4.2,(22% off),"FREE delivery Sat, 8 Nov",,(1K)
"Samsung Galaxy S24 5G AI Smartphone (Onyx Black, 8GB, 128GB Storage)","41,976",4.3,(44% off),"FREE delivery Mon, 10 Nov",Up to 5% back with Amazon Pay...,(1.4K)
"Motorola g86 Power 5G (Pantone Spellbound, 8GB RAM, 128GB Storage) | 6.7"" 1.5K pOLED Display | 50MP Sony OIS Camera | 6720mAh Battery | TurboPower 33W Charging | Dimensity 7400 Processor","16,940",3.9,(15% off),"FREE delivery Fri, 14 Nov",,53
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)","33,920",4.3,(43% off),"FREE delivery Sat, 8 Nov",Up to 5% back with Amazon Pay...,(1K)
